group_id,index,word,pos,detailed_pos,dep,ent_type,sent,results
0,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0]"
0,1,small,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0]"
0,2,brown,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0]"
0,3,dog,7,22,29,19,0,"[0, 1.0, 1.0, 0, 0, 0, 0]"
0,4,runs,15,42,0,19,0,"[0, 0, 0, 0, 0, 0, 0]"
0,5,quickly,2,30,4,19,0,"[0, 0, 0, 0, 0, 0, 0]"
0,6,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0]"
1,0,A,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
1,1,tall,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
1,2,tree,7,22,29,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
1,3,stood,15,38,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
1,4,in,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
1,5,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
1,6,park,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
1,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
2,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
2,1,beautiful,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
2,2,blue,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
2,3,sky,7,22,29,19,0,"[0, 1.0, 1.0, 0, 0, 0, 0, 0]"
2,4,is,3,42,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
2,5,clear,0,16,2,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
2,6,today,7,22,28,1,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
2,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
3,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0]"
3,1,old,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0]"
3,2,wooden,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0]"
3,3,chair,7,22,30,19,0,"[0, 0, 0, 0, 0, 0, 0]"
3,4,is,3,42,10,19,0,"[0, 1.0, 1.0, 0, 0, 0, 0]"
3,5,broken,15,40,0,19,0,"[0, 0, 0, 0, 0, 0, 0]"
3,6,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0]"
4,0,A,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
4,1,red,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
4,2,ball,7,22,29,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
4,3,bounced,15,38,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
4,4,down,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
4,5,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
4,6,street,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
4,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
5,0,A,5,11,20,19,0,"[0, 0, 0, 0, 0, 0]"
5,1,happy,0,16,6,19,0,"[0, 0, 0, 0, 0, 0]"
5,2,cat,7,22,29,19,0,"[0, 0, 0, 0, 0, 0]"
5,3,plays,15,42,0,19,0,"[0, 1.0, 0, 0, 0, 0]"
5,4,outside,2,30,4,19,0,"[0, 0, 0, 0, 0, 0]"
5,5,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0]"
6,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
6,1,strong,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
6,2,wind,7,22,29,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
6,3,blew,15,38,0,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
6,4,through,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
6,5,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
6,6,trees,7,25,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
6,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
7,0,She,10,28,29,19,0,"[0, 0, 0, 0, 0, 0, 0]"
7,1,wore,15,38,0,19,0,"[0, 0, 0, 0, 0, 0, 0]"
7,2,a,5,11,20,19,0,"[0, 1.0, 0, 0, 0, 0, 0]"
7,3,bright,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0]"
7,4,red,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0]"
7,5,dress,7,22,21,19,0,"[0, 0, 0, 0, 0, 0, 0]"
7,6,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0]"
8,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
8,1,large,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
8,2,white,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
8,3,house,11,23,29,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
8,4,was,3,38,0,19,0,"[0, 1.0, 1.0, 0, 0, 0, 0, 0]"
8,5,for,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
8,6,sale,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
8,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
9,0,A,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
9,1,cute,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
9,2,puppy,7,22,29,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
9,3,slept,15,38,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
9,4,in,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
9,5,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
9,6,yard,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
9,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
10,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0]"
10,1,old,0,16,6,19,0,"[0, 0, 0, 0, 0, 0]"
10,2,man,7,22,29,19,0,"[0, 0, 0, 0, 0, 0]"
10,3,walked,15,38,0,19,0,"[0, 1.0, 0, 0, 0, 0]"
10,4,slowly,2,30,4,19,0,"[0, 0, 0, 0, 0, 0]"
10,5,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0]"
11,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
11,1,fast,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
11,2,car,7,22,29,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
11,3,sped,15,38,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
11,4,down,1,15,39,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
11,5,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
11,6,road,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
11,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
12,0,A,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
12,1,heavy,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
12,2,box,7,22,29,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
12,3,sat,15,38,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
12,4,on,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
12,5,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
12,6,table,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
12,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
13,0,A,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0]"
13,1,lazy,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0]"
13,2,dog,7,22,29,19,0,"[0, 0, 0, 0, 0, 0, 0]"
13,3,slept,15,38,0,19,0,"[0, 1.0, 0, 0, 0, 0, 0]"
13,4,all,5,11,20,1,0,"[0, 0, 0, 0, 0, 0, 0]"
13,5,day,7,22,28,1,0,"[0, 0, 0, 0, 0, 0, 0]"
13,6,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0]"
14,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,1,round,7,22,14,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,2,table,7,22,30,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0, 0]"
14,3,was,3,38,10,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,4,covered,15,40,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,5,with,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,6,a,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,7,cloth,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,8,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
15,1,quick,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
15,2,rabbit,7,22,29,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
15,3,hopped,15,38,0,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
15,4,through,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
15,5,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
15,6,grass,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
15,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
16,0,A,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
16,1,beautiful,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
16,2,woman,7,22,29,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
16,3,walked,15,38,0,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
16,4,into,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
16,5,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
16,6,room,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
