group_id,index,word,pos,detailed_pos,dep,ent_type,sent,results
0,0,There,10,12,22,19,0,"[0, 0, 0, 0, 0, 0]"
0,1,is,15,42,0,19,0,"[0, 0, 0, 0, 0, 0]"
0,2,a,5,11,20,19,0,"[0, 0, 0, 0, 0, 0]"
0,3,blue,0,16,6,19,0,"[0, 0, 0, 0, 0, 0]"
0,4,cat,7,22,8,19,0,"[0, 0, 0, 1.0, 0, 0]"
0,5,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0]"
1,0,A,5,11,20,19,0,"[0, 0, 0, 0, 0, 0]"
1,1,happy,0,16,6,19,0,"[0, 0, 0, 0, 0, 0]"
1,2,brown,0,16,6,19,0,"[0, 0, 0, 0, 0, 0]"
1,3,dog,7,22,14,19,0,"[0, 1.0, 1.0, 0, 0, 0]"
1,4,plays,7,25,0,19,0,"[0, 0, 0, 0, 0, 0]"
1,5,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0]"
2,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0]"
2,1,tall,0,16,6,19,0,"[0, 0, 0, 0, 0]"
2,2,tree,7,22,14,19,0,"[0, 1.0, 0, 0, 0]"
2,3,sways,7,25,0,19,0,"[0, 0, 0, 0, 0]"
2,4,.,12,5,41,19,0,"[0, 0, 0, 0, 0]"
3,0,A,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0]"
3,1,red,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0]"
3,2,roofed,15,40,6,19,0,"[0, 0, 0, 0, 0, 0, 0]"
3,3,beautiful,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0]"
3,4,house,11,23,29,19,0,"[0, 0, 0, 0, 0, 0, 0]"
3,5,stands,7,25,0,19,0,"[0, 1.0, 0, 0, 1.0, 0, 0]"
3,6,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0]"
4,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0]"
4,1,fast,2,30,4,19,0,"[0, 0, 0, 0, 0, 0, 0]"
4,2,sleek,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0]"
4,3,car,7,22,14,19,0,"[0, 1.0, 1.0, 0, 0, 0, 0]"
4,4,zooms,7,25,28,19,0,"[0, 0, 0, 0, 0, 0, 0]"
4,5,past,2,30,0,19,0,"[0, 0, 0, 0, 0, 0, 0]"
4,6,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0]"
